id_municipality,num_casos,name_municipality,id_department
15001,2889,TUNJA,15
15022,3,ALMEIDA,15
15047,26,AQUITANIA,15
15051,32,ARCABUCO,15
15087,26,BELEN,15
15090,5,BERBEO,15
15092,3,BETEITIVA,15
15097,26,BOAVITA,15
15104,11,BOYACA,15
15106,2,BRICENO,15
15109,10,BUENAVISTA,15
15114,2,BUSBANZA,15
15131,9,CALDAS,15
15162,16,CERINZA,15
15172,3,CHINAVITA,15
15176,643,CHIQUINQUIRA,15
15180,4,CHISCAS,15
15183,16,CHITA,15
15185,9,CHITARAQUE,15
15187,4,CHIVATA,15
15189,10,CIENEGA,15
15204,108,COMBITA,15
15212,5,COPER,15
15215,5,CORRALES,15
15218,12,COVARACHIA,15
15223,21,CUBARA,15
15224,3,CUCAITA,15
15226,4,CUITIVA,15
15232,7,CHIQUIZA,15
15236,3,CHIVOR,15
15238,1663,DUITAMA,15
15244,11,EL COCUY,15
15248,6,EL ESPINO,15
15272,25,FIRAVITOBA,15
15276,7,FLORESTA,15
15293,8,GACHANTIVA,15
15296,10,GAMEZA,15
15299,122,GARAGOA,15
15317,5,GUACAMAYAS,15
15322,86,GUATEQUE,15
15325,9,GUAYATA,15
15332,14,GUICAN,15
15362,13,IZA,15
15367,16,JENESANO,15
15368,5,JERICO,15
15377,15,LABRANZAGRANDE,15
15380,6,LA CAPILLA,15
15401,2,LA VICTORIA,15
15403,15,LA UVITA,15
15407,140,VILLA DE LEYVA,15
15425,9,MACANAL,15
15442,10,MARIPI,15
15455,44,MIRAFLORES,15
15464,5,MONGUA,15
15466,17,MONGUI,15
15469,208,MONIQUIRA,15
15476,9,MOTAVITA,15
15480,43,MUZO,15
15491,124,NOBSA,15
15494,1,NUEVO COLON,15
15500,12,OICATA,15
15507,19,OTANCHE,15
15511,3,PACHAVITA,15
15514,8,PAEZ,15
15516,319,PAIPA,15
15518,7,PAJARITO,15
15522,2,PANQUEBA,15
15531,7,PAUNA,15
15537,20,PAZ DE RIO,15
15542,13,PESCA,15
15550,1,PISBA,15
15572,356,PUERTO BOYACA,15
15580,15,QUIPAMA,15
15599,47,RAMIRIQUI,15
15600,13,RAQUIRA,15
15621,1,RONDON,15
15632,22,SABOYA,15
15638,16,SACHICA,15
15646,122,SAMACA,15
15660,2,SAN EDUARDO,15
15664,13,SAN JOSE DE PARE,15
15667,4,SAN LUIS DE GACENO,15
15673,11,SAN MATEO,15
15676,9,SAN MIGUEL DE SEMA,15
15681,17,SAN PABLO DE BORBUR,15
15686,23,SANTANA,15
15690,15,SANTA MARIA,15
15693,50,SANTA ROSA DE VITERBO,15
15696,4,SANTA SOFIA,15
15720,8,SATIVANORTE,15
15723,2,SATIVASUR,15
15740,14,SIACHOQUE,15
15753,120,SOATA,15
15755,19,SOCOTA,15
15757,33,SOCHA,15
15759,1734,SOGAMOSO,15
15761,8,SOMONDOCO,15
15762,3,SORA,15
15763,15,SOTAQUIRA,15
15764,7,SORACA,15
15774,10,SUSACON,15
15776,13,SUTAMARCHAN,15
15778,6,SUTATENZA,15
15790,17,TASCO,15
15798,16,TENZA,15
15804,19,TIBANA,15
15806,41,TIBASOSA,15
15808,4,TINJACA,15
15810,13,TIPACOQUE,15
15814,33,TOCA,15
15816,7,TOGUI,15
15820,15,TOPAGA,15
15822,10,TOTA,15
15832,2,TUNUNGUA,15
15835,16,TURMEQUE,15
15837,37,TUTA,15
15839,3,TUTAZA,15
15842,17,UMBITA,15
15861,35,VENTAQUEMADA,15
15879,3,VIRACACHA,15
15897,4,ZETAQUIRA,15
25001,32,AGUA DE DIOS,25
25019,3,ALBAN,25
25035,45,ANAPOIMA,25
25040,13,ANOLAIMA,25
25053,31,ARBELAEZ,25
25086,2,BELTRAN,25
25095,1,BITUIMA,25
25099,27,BOJACA,25
25120,4,CABRERA,25
25123,17,CACHIPAY,25
25126,659,CAJICA,25
25148,14,CAPARRAPI,25
25151,35,CAQUEZA,25
25154,15,CARMEN DE CARUPA,25
25168,2,CHAGUANI,25
25175,901,CHIA,25
25178,10,CHIPAQUE,25
25181,25,CHOACHI,25
25183,29,CHOCONTA,25
25200,72,COGUA,25
25214,141,COTA,25
25224,8,CUCUNUBA,25
25245,47,EL COLEGIO,25
25258,1,EL PEÑON,25
25260,53,EL ROSAL,25
25269,438,FACATATIVA,25
25279,19,FOMEQUE,25
25281,6,FOSCA,25
25286,455,FUNZA,25
25288,8,FUQUENE,25
25290,592,FUSAGASUGA,25
25293,6,GACHALA,25
25295,52,GACHANCIPA,25
25297,14,GACHETA,25
25299,2,GAMA,25
25307,556,GIRARDOT,25
25312,10,GRANADA,25
25317,19,GUACHETA,25
25320,70,GUADUAS,25
25322,42,GUASCA,25
25324,2,GUATAQUI,25
25326,14,GUATAVITA,25
25328,8,GUAYABAL DE SIQUIMA,25
25335,3,GUAYABETAL,25
25339,5,GUTIERREZ,25
25372,8,JUNIN,25
25377,104,LA CALERA,25
25386,113,LA MESA,25
25394,7,LA PALMA,25
25398,3,LA PEÑA,25
25402,38,LA VEGA,25
25407,9,LENGUAZAQUE,25
25426,7,MACHETA,25
25430,433,MADRID,25
25436,5,MANTA,25
25438,13,MEDINA,25
25473,504,MOSQUERA,25
25483,5,NARIÑO,25
25486,31,NEMOCON,25
25488,76,NILO,25
25489,6,NIMAIMA,25
25491,5,NOCAIMA,25
25506,9,OSPINA PEREZ (VENECIA),25
25513,47,PACHO,25
25518,6,PAIME,25
25524,3,PANDI,25
25530,4,PARATEBUENO,25
25535,7,PASCA,25
25572,31,PUERTO SALGAR,25
25592,6,QUEBRADANEGRA,25
25594,5,QUETAME,25
25596,2,QUIPILE,25
25599,9,RAFAEL REYES (APULO),25
25612,19,RICAURTE,25
25645,18,SAN ANTONIO DE TEQUENDAMA,25
25649,1,SAN BERNARDO,25
25653,4,SAN CAYETANO,25
25658,17,SAN FRANCISCO,25
25662,13,SAN JUAN DE RIO SECO,25
25718,19,SASAIMA,25
25736,33,SESQUILE,25
25740,89,SIBATE,25
25743,44,SILVANIA,25
25745,23,SIMIJACA,25
25754,1900,SOACHA,25
25758,112,SOPO,25
25769,33,SUBACHOQUE,25
25772,66,SUESCA,25
25777,3,SUPATA,25
25779,7,SUSA,25
25781,11,SUTATAUSA,25
25785,83,TABIO,25
25793,13,TAUSA,25
25797,7,TENA,25
25799,67,TENJO,25
25805,10,TIBACUY,25
25807,2,TIBIRITA,25
25815,21,TOCAIMA,25
25817,189,TOCANCIPA,25
25823,5,TOPAIPI,25
25839,9,UBALA,25
25841,9,UBAQUE,25
25843,170,UBATE,25
25845,9,UNE,25
25851,4,UTICA,25
25862,4,VERGARA,25
25867,1,VIANI,25
25873,29,VILLAPINZON,25
25875,116,VILLETA,25
25878,23,VIOTA,25
25885,6,YACOPI,25
25898,7,ZIPACON,25
25899,800,ZIPAQUIRA,25
